category_id;breadcrumb;count
28829;Spielzeug > Playmobil > Freizeit;1
19082;Spielzeug > Spiele > Kartenspiele > Moderne Kartenspiele;1
234;Spielzeug > Spiele > Sonstige;1
161826;Sport > Angelsport > Kleines Angelzubehör > Bleie;1
81464;Sport > Angelsport > Zubehör > Räucheröfen & -utensilien;1
181391;Sport > Camping & Outdoor > Bekleidung > Wanderschuhe;1
87141;Sport > Camping & Outdoor > Camping-Küchenbedarf > Kochgeschirr;1
87122;Sport > Camping & Outdoor > Rucksäcke > Tagesrucksäcke;1
181379;Sport > Camping & Outdoor > Rucksäcke > Trekkingrucksäcke;1
8504;Sport > Camping & Outdoor > Sonstiges Camping & Outdoor;1
179011;Sport > Camping & Outdoor > Zelte & Strandmuscheln > Strandmuscheln;1
59325;Sport > Fitness & Jogging > Bekleidung > Damen > Sweatshirts & Kapuzenpullover;1
36155;Sport > Fitness & Jogging > Krafttraining & Gewichte > Gewichthebergürtel;1
158927;Sport > Fitness & Jogging > Yoga & Pilates;1
11331;Sport > Funsport > Cityroller & Kickboards;1
47349;Sport > Funsport > Elektro-Scooter;1
36624;Sport > Funsport > Skateboarding > Boards > Lager;1
57262;Sport > Radsport > Fahrradteile & -komponenten;1
177806;Sport > Radsport > Fahrradteile & -komponenten > Bremsbeläge;1
177807;Sport > Radsport > Fahrradteile & -komponenten > Bremsscheiben;1
177822;Sport > Radsport > Fahrradteile & -komponenten > Sättel;1
22689;Sport > Radsport > Fahrradzubehör > Beleuchtung & Reflektoren;1
158997;Sport > Radsport > Fahrradzubehör > Fahrradständer & Aufbewahrung;1
177833;Sport > Radsport > Fahrradzubehör > Fahrradtaschen;1
58100;Sport > Radsport > Fahrradzubehör > Schlösser & Sicherheit;1
177835;Sport > Radsport > Fahrradzubehör > Transportkoffer/-taschen;1
70911;Sport > Radsport > Helme & Protektoren > Helme;1
68814;Sport > Sporttaschen & Rucksäcke > Rucksäcke;1
32525;Sport > Tauchen > Instrumente & Uhren > Konsolen;1
2024;Sport > Weitere Ballsportarten > Football > Fanartikel;1
13340;Sport > Weitere Ballsportarten > Tennis;1
2917;Sport > Weitere Ballsportarten > Tennis > Sonstige;1
14355;Sport > Weiterer Wassersport > Kitesurfen > Sonstige;1
36261;Sport > Wintersport > Bekleidung > Hosen;1
16061;Sport > Wintersport > Skifahren, Snowboarden & Schneeschuhwandern > Schuhe & Boots > Herrenschuhe & -boots;1
21240;Sport > Wintersport > Skifahren, Snowboarden & Schneeschuhwandern > Schuhe & Boots > Kinderschuhe & -boots;1
15052;TV, Video & Audio > Tragbare Geräte & Kopfhörer;1
67720;Uhren & Schmuck > Juwelierbedarf > Reinigungsgeräte & -materialien;1
