id,productId,inventoryId,status,message,createdAt
p0jWAO644kVqyosS7Ha3,11439b84-9171-4705-b423-18c9a2ccaa3b,84529,failed,"ERROR_BLOCKED_TOKEN: Query limit exceeded, token blocked until 2025-12-11 13:20:09","{""_seconds"":1765455242,""_nanoseconds"":338000000}"
p1DbVBuUIu86End7oJBo,4061418025265,85403,success,Successfully synced to BaseLinker,"{""_seconds"":1765733800,""_nanoseconds"":933000000}"
p7yYd3SHlqo3PMOygwJm,9783965940628,85404,failed,"ERROR_BLOCKED_TOKEN: Query limit exceeded, token blocked until 2025-12-11 19:50:25","{""_seconds"":1765478433,""_nanoseconds"":926000000}"
pBkrsfmbPIre7X4TLGTM,4260325431309,84529,failed,"ERROR_BLOCKED_TOKEN: Query limit exceeded, token blocked until 2025-12-10 10:34:55","{""_seconds"":1765358762,""_nanoseconds"":758000000}"
pBoArqXVKxKIqmyNAq9U,SKU-5943400007,78659,success,Successfully synced to BaseLinker,"{""_seconds"":1765926222,""_nanoseconds"":110000000}"
pCgUy2BSbqOFmM5WS9n6,8436579110321,78659,success,Successfully synced to BaseLinker,"{""_seconds"":1765751211,""_nanoseconds"":679000000}"
pCqYPpA4twyKIVCYstVy,5054142498336,85403,success,Successfully synced to BaseLinker,"{""_seconds"":1765722806,""_nanoseconds"":164000000}"
pDJdjiD5zV6vggp68C9d,4260532291215,78659,success,Successfully synced to BaseLinker,"{""_seconds"":1765044833,""_nanoseconds"":183000000}"
pGRpJWANdw4zaByYdiUY,4052212121253,85403,success,Successfully synced to BaseLinker,"{""_seconds"":1765715642,""_nanoseconds"":471000000}"
pHOwzWe0f3RQsA9DpKYd,0000184164619,84529,success,Successfully synced to BaseLinker,"{""_seconds"":1765045601,""_nanoseconds"":23000000}"
pN4QYF722xRo5hBgQ1Dc,5054142498336,84529,failed,"ERROR_BLOCKED_TOKEN: Query limit exceeded, token blocked until 2025-12-10 10:34:55","{""_seconds"":1765359029,""_nanoseconds"":711000000}"
pNOXPSq0vrNbfsMwKg5M,197634001401,85403,failed,"ERROR_BLOCKED_TOKEN: Query limit exceeded, token blocked until 2025-12-11 23:56:37","{""_seconds"":1765492121,""_nanoseconds"":520000000}"
pNRadoPFqcPLMvZ0xPJK,4061418025265,78659,success,Successfully synced to BaseLinker,"{""_seconds"":1765755044,""_nanoseconds"":958000000}"
pNTxhAjjadln6CJfLHqu,195969554562,85403,success,Successfully synced to BaseLinker,"{""_seconds"":1765724462,""_nanoseconds"":592000000}"
pPJcXdwkptYiUv24GFbf,85010130,85404,failed,"ENOENT: no such file or directory, open '/app/kaufland/category_tree_all_languages.csv'","{""_seconds"":1765489426,""_nanoseconds"":998000000}"
