id,ean,productId,updated_at,baseProductId,sku
ean:8710103997177,8710103997177,SKU-6369067650,2025-12-21T17:44:00.330Z,465103281,SKU-6369067650
ean:8712024095246,8712024095246,SKU-0982370040,2025-12-23T08:11:41.607Z,458469209,SKU-0982370040
ean:8718891015547,8718891015547,8718309101547,2025-12-14T23:42:32.822Z,458469510,SKU-2388529978
ean:8718891015578,8718891015578,8718891015578,2025-12-14T23:43:24.330Z,458469804,SKU-7948301538
ean:8718891115599,8718891115599,09158136-7837-4a23-90d6-1543b48ce027,2025-12-14T23:23:37.966Z,458453027,SKU-5091393302
ean:8719076052258,8719076052258,8719076052258,2025-12-21T19:45:39.192Z,465278485,SKU-9132277490
ean:8720648699382,8720648699382,YY-4RPW-M2TR,2025-12-14T23:47:52.858Z,458497701,SKU-6427883146
ean:8720707001286,8720707001286,8720707001286,2025-12-15T00:35:27.912Z,449822177,SKU-5799111421
ean:8720828172452,8720828172452,8720828172452,2025-12-21T19:47:32.152Z,465280616,SKU-3692000771
ean:8806090396038,8806090396038,SKU-5598085433,2025-12-21T17:32:51.620Z,462242170,SKU-5598085433
ean:9001778309730,9001778309730,SKU-2633108165,2025-12-21T17:37:21.967Z,465090922,SKU-2633108165
ean:9002592400207,9002592400207,SKU-5392843955,2025-12-21T17:35:48.458Z,462239023,SKU-5392843955
ean:9002592484122,9002592484122,0002592484122,2025-12-14T23:23:36.382Z,458452983,SKU-8035511646
ean:9002592485129,9002592485129,9002592485129,2025-12-14T23:44:16.712Z,458470102,SKU-2151943751
ean:9003034391442,9003034391442,SKU-9564743151,2025-12-21T17:45:12.232Z,465105299,SKU-9564743151
ean:9014400001384,9014400001384,9014400001384,2025-12-15T00:44:46.693Z,458470397,SKU-6315915149
ean:9014400035983,9014400035983,9014400035983,2025-12-15T00:44:47.320Z,458470408,SKU-9454243198
ean:9014400100650,9014400100650,f5b8eda0-9388-4c2b-91b7-dd605a0e511e,2025-12-15T00:44:52.791Z,458494137,SKU-9552245537
ean:9014400103538,9014400103538,9014400103538,2025-12-15T00:44:48.861Z,458470423,SKU-4069701323
ean:9014400105341,9014400105341,9014400105341,2025-12-15T00:44:49.490Z,458470425,SKU-5658638116
ean:9014400105389,9014400105389,9014400105389,2025-12-15T00:44:50.112Z,458470427,SKU-4679981655
ean:9014400124540,9014400124540,9014400124540,2025-12-15T00:44:50.745Z,458515360,SKU-9035689627
ean:9014400193201,9014400193201,SKU-5943400007,2025-12-16T23:03:42.006Z,458515696,SKU-5943400007
ean:9014400281687,9014400281687,9014400281687,2025-12-15T00:44:51.368Z,458470428,SKU-5320447988
ean:9014400293437,9014400293437,9014400293437,2025-12-15T00:44:52.037Z,458470429,SKU-6965414859
ean:91120092210987,91120092210987,SKU-3566484007,2025-12-21T17:26:35.062Z,465066047,SKU-3566484007
ean:9132580602006,9132580602006,9132580602006,2025-12-21T19:47:32.559Z,465280624,SKU-8036579486
ean:9331521033415,9331521033415,SKU-0871959830,2025-12-20T23:10:27.714Z,462089181,SKU-0871959830
ean:9523709033415,9523709033415,SKU-3992211748,2025-12-22T15:40:55.923Z,458974959,SKU-3992211748
ean:9783417288889,9783417288889,9783417288889,2025-12-15T00:03:12.120Z,458473855,SKU-1040274599
ean:9783462005134,9783462005134,a99a4149-8b94-4560-91be-df6545d1a5ef,2025-12-15T00:47:12.913Z,458518756,SKU-5638382329
ean:9783785556740,9783785556740,9783785556740,2025-12-14T23:46:08.796Z,458474714,SKU-9289261489
ean:9783845118116,9783845118116,9783845118116,2025-12-14T23:42:11.678Z,458475940,SKU-9876441475
ean:9783956195242,9783956195242,9783956193242,2025-12-15T00:38:46.524Z,458516052,SKU-8483173682
ean:9783965940628,9783965940628,9783965940628,2025-12-15T00:04:03.755Z,458476579,SKU-2841208491
ean:9783982023113,9783982023113,9783982023113,2025-12-14T22:52:35.640Z,458477177,SKU-4743695203
ean:9786158181617,9786158181617,9786158181617,2025-12-15T00:40:36.655Z,458516641,SKU-5582443660
sku:0000524938,1657579165751,SKU-0000524938,2025-12-18T18:20:51.580Z,462089163,SKU-0000524938
sku:0058749943,4000530351531,SKU-0058749943,2025-12-21T17:16:34.302Z,463190152,SKU-0058749943
sku:0114729665,4066748539567,SKU-0114729665,2025-12-17T11:26:45.478Z,458456583,SKU-0114729665
sku:0139597304,4013556577144,4013556577144,2025-12-21T17:12:22.692Z,464298809,SKU-0139597304
sku:0152828115,20210522000074,SKU-0152828115,2025-12-21T17:17:37.229Z,463191244,SKU-0152828115
sku:0200958470,4004133669093,4004133669093,2025-12-21T17:49:51.297Z,465112797,SKU-0200958470
sku:0225495136,7290116742380,7290116742380,2025-12-21T19:44:34.426Z,465277231,SKU-0225495136
sku:0236764953,4250362479310,SKU-0236764953,2025-12-21T17:18:40.176Z,463235479,SKU-0236764953
sku:0403766178,9014400100650,9014400100650,2025-12-15T00:44:48.234Z,458470419,SKU-0403766178
sku:0411747828,3306437238014,SKU-0411747828,2025-12-17T11:26:46.088Z,458462471,SKU-0411747828
sku:0522930788,4006825642452,4006825642452,2025-12-16T23:05:50.595Z,459737337,SKU-0522930788
sku:0534200636,4053479285122,4053479285122,2025-12-21T19:41:19.759Z,465273410,SKU-0534200636
sku:057909,4013288165657,3cab2925-3136-4d57-b76a-c4ba5e886594,2025-12-14T23:19:53.615Z,458453071,057909
sku:0735099796,6954850111741,6954850111741,2025-12-21T21:52:18.281Z,464303135,SKU-0735099796
sku:0871959830,9331521033415,SKU-0871959830,2025-12-20T23:10:27.714Z,462089181,SKU-0871959830
