id,sku,last_saved_source,issues,title_len,desc_len,features,attrs,category
81715585302754,SKU-3938831828,category-review-csv,description_too_short,78,229,7,16,Baby > Ernährung > Kindergeschirr & -besteck
81717285233178,SKU-5764056320,category-review-csv,description_too_short,78,211,7,13,"Möbel & Wohnen > Bettwaren, -wäsche & Matratzen > Bettwäsche"
83e404aa-90ab-4ebe-a933-039625bb1df9,SKU-7193466241,ui,description_too_short,77,208,5,12,"Computer, Tablets & Netzwerk > Drucker, Scanner & Zubehör > Tinte, Toner & Papier > Tintenpatronen"
849e919f-0898-4df7-8fbb-e141c351cba4,SKU-2969022222,category-review-csv,description_too_short,76,160,7,11,"Möbel & Wohnen > Badezimmer > Badezimmerzubehör > Badvorleger, Teppiche & Toilettensitzabdeckungen"
8712013813820,SKU-8805500495,category-review-csv,description_too_short,73,115,6,21,Sport > Camping & Outdoor > Camping-Küchenbedarf > Campinggeschirr
8717475102703,SKU-7333529126,category-review-csv,description_missing,80,0,5,20,"Auto & Motorrad: Teile > Autoteile & Zubehör > Karosserie-, Anbauteile & Zubehör > Außenspiegel & Teile > Außenspiegel"
8719115000028,SKU-8798489036,ui,description_too_short,79,216,6,21,Business & Industrie > Großhandel & Sonderposten > Kleidung & Accessoires(Posten) > Herrenbekleidung > Unterwäsche
8720245556002,SKU-7977735758,script-condition-normalize,category_not_breadcrumb,74,662,7,18,Bekleidung
8720676510376,SKU-2005525534,script-condition-normalize,category_not_breadcrumb,75,821,6,13,Damen Shapewear
8b41bda6-bc97-4d34-8644-f081c7d180cb,SKU-2629282795,ui,description_missing,70,0,6,11,Büro & Schreibwaren > Büromöbel > Schränke & Regale > Aktenschränke
90090043468127,SKU-3310911465,title-normalize,description_missing,70,0,6,11,"Auto & Motorrad: Teile > Öl, Pflege- & Schmiermittel > Motoröl"
9e35f9b4-5df8-4db7-9dd7-31e4491488ef,SKU-6469360404,category-review-csv,description_too_short,75,207,7,22,"Möbel & Wohnen > Bettwaren, -wäsche & Matratzen > Bettlaken"
