category_id,breadcrumb
6552517,Computer > Kabel & Steckverbinder > Netzkabel & Steckverbinder
6552518,Computer > Kabel & Steckverbinder > Netzwerkkabel & Adapter
6559017,Computer > Kabel & Steckverbinder > Netzwerkkabel & Adapter > DSL/Telefonkabel (RJ-11)
6559018,Computer > Kabel & Steckverbinder > Netzwerkkabel & Adapter > Ethernetkabel (RJ-45/8P8C)
6559019,Computer > Kabel & Steckverbinder > Netzwerkkabel & Adapter > Glasfaserkabel
6559020,Computer > Kabel & Steckverbinder > Netzwerkkabel & Adapter > Koaxialkabel
6559021,Computer > Kabel & Steckverbinder > Netzwerkkabel & Adapter > Sonstige
6559022,"Computer > Kabel & Steckverbinder > Netzwerkkabel & Adapter > Splitter, Koppler & Adapter"
6559023,"Computer > Kabel & Steckverbinder > Netzwerkkabel & Adapter > Stecker, Buchsen & Abdeckplatten"
6552519,"Computer > Kabel & Steckverbinder > Parallel, Seriell & PS/2"
6552520,Computer > Kabel & Steckverbinder > Sonstige
6552521,"Computer > Kabel & Steckverbinder > USB-Kabel, -Hubs & -Adapter"
6551208,Computer > Laufwerke & Speichermedien
6552522,Computer > Laufwerke & Speichermedien > Band-/Datenkassettenlaufwerke
6552523,"Computer > Laufwerke & Speichermedien > CD-, DVD- & Blu-ray-Kopierer"
6552524,"Computer > Laufwerke & Speichermedien > CD-, DVD- & Blu-ray-Laufwerke"
6552525,Computer > Laufwerke & Speichermedien > Einbaurahmen für Festplatten
6552526,"Computer > Laufwerke & Speichermedien > Festplatten (HDD, SSD & NAS)"
6559024,"Computer > Laufwerke & Speichermedien > Festplatten (HDD, SSD & NAS) > Externe Festplatten"
6559025,"Computer > Laufwerke & Speichermedien > Festplatten (HDD, SSD & NAS) > Interne Festplatten"
6559026,"Computer > Laufwerke & Speichermedien > Festplatten (HDD, SSD & NAS) > Netzgebundener Speicher"
6559027,"Computer > Laufwerke & Speichermedien > Festplatten (HDD, SSD & NAS) > Solid State Drives (SSD)"
6559028,"Computer > Laufwerke & Speichermedien > Festplatten (HDD, SSD & NAS) > Sonstige"
6552527,Computer > Laufwerke & Speichermedien > Festplatten-Kopierstationen
6552528,Computer > Laufwerke & Speichermedien > Festplattengehäuse & Docks
6552529,"Computer > Laufwerke & Speichermedien > Floppy-, Zip- & Jaz-Laufwerke"
6552530,Computer > Laufwerke & Speichermedien > Leermedien & Zubehör
6559029,"Computer > Laufwerke & Speichermedien > Leermedien & Zubehör > CDs, DVDs & Blu-rays"
6559030,Computer > Laufwerke & Speichermedien > Leermedien & Zubehör > Datenkassetten
6559031,Computer > Laufwerke & Speichermedien > Leermedien & Zubehör > Disc-Reparatur & -Reinigung
6559032,"Computer > Laufwerke & Speichermedien > Leermedien & Zubehör > Floppy-, Zip- & Jaz-Disketten"
